Fecha,TMN_Cuenca.Alto.Pozuzo,TMN_Cuenca.Alto.Pachitea,TMN_Cuenca.Mairo,TMN_Medio.Pachitea,TMX_Cuenca.Alto.Pozuzo,TMX_Cuenca.Alto.Pachitea,TMX_Cuenca.Mairo,TMX_Medio.Pachitea
1981-01-01,10.54,5.24,19.39,20.74,21.91,19.77,25.59,26.52
1981-01-02,10.53,6.47,19.2,20.82,24.1,19.6,28.67,29.97
1981-01-03,12.1,7.84,19.83,21.55,23.61,18.68,28.54,29.89
1981-01-04,12.03,7.77,19.79,21.15,23.55,19.02,29.28,30.36
1981-01-05,12.22,7.33,20.02,21.38,23.32,18.98,29.08,30.02
1981-01-06,12.38,6.76,20.18,21.58,21.52,17.8,26.98,28.04
1981-01-07,12.49,8.87,19.88,21.16,21.94,17.53,27.56,28.65
1981-01-08,12.15,7.96,20.46,21.65,22.69,18.11,27.83,28.99
1981-01-09,12.18,7.83,19.97,21.26,22.96,18.59,28.91,30.06
1981-01-10,11.66,7.75,19.37,20.54,24.54,20.3,29.53,31.05
1981-01-11,10.69,7.15,19.49,21.21,23.88,19.57,30.23,31.47
1981-01-12,11.72,7.85,20.3,21.93,23.77,18.6,28.68,29.65
1981-01-13,11.94,7.78,19.86,21.4,20.84,16.78,25.3,26.18
1981-01-14,11.3,7,19.07,20.58,20.14,16.94,24.77,26.08
1981-01-15,12.14,8.35,19.95,21.17,23.51,19.26,28.65,29.99
1981-01-16,11.03,6.65,19.57,21.15,24.72,20.15,30.04,31.29
1981-01-17,12.17,7.9,19.93,21.41,23.93,19.89,29.36,30.83
1981-01-18,12.16,8.1,20.12,21.64,21.8,18.13,27.66,29.29
1981-01-19,11.36,7.53,19.88,21.53,20.84,16.4,27.13,28.22
1981-01-20,10.61,6.29,18.98,20.91,22.74,17.2,28.23,29.07
1981-01-21,12.73,8.18,20.39,21.88,21.08,17.57,26.57,27.93
1981-01-22,11.13,6.38,19.76,21.38,22.6,18.75,28.12,29.35
1981-01-23,11.06,6.6,19.84,21.45,21.31,18.25,27.79,29.44
1981-01-24,9.79,5.98,19.01,20.75,22.04,18.82,27.93,29.13
1981-01-25,10.95,6.37,19.62,21.03,22.17,18.85,26.92,27.92
1981-01-26,11.24,6.58,19.37,20.65,22.04,18.15,26.7,27.57
1981-01-27,12.28,8.43,20.2,21.41,22.49,18.07,28.35,29.1
1981-01-28,11.94,7.89,19.91,21.26,22.18,19.07,28.38,29.62
1981-01-29,12.55,8.64,20.38,21.76,21.67,18.06,27.06,28.23
1981-01-30,12.16,7.67,19.84,21.3,23.19,18.95,28.01,29.14
1981-01-31,12.61,9.07,20.01,21.29,21.5,17.01,27.63,28.49
1981-02-01,12.28,8.77,19.87,20.61,21.22,16.55,26.81,27.32
1981-02-02,12.76,8.74,20.1,20.91,24.05,19.65,29.67,30.78
1981-02-03,13.07,9.24,20.49,21.29,23.42,18.66,29.57,30.77
1981-02-04,13.21,9.72,20.53,21.36,22.17,17.71,28.12,29.82
1981-02-05,12.66,9,20.39,21.11,22.98,17.86,28.44,29.16
1981-02-06,12.87,9.34,20.45,21.11,21.27,17.08,26.64,27.14
1981-02-07,12.9,9.6,20.48,21.17,20.37,17.11,27.24,27.06
1981-02-08,12.72,9.5,20.35,21.07,20.96,16.09,26.95,27.32
1981-02-09,12.64,9.35,20.3,21.04,22.37,18,27.3,27.63
1981-02-10,12.48,9.46,20.08,20.9,22.04,17.59,27.25,27.68
1981-02-11,12.67,8.83,20.52,21.24,22.04,17.21,28.47,29.19
1981-02-12,11.24,8.45,19.87,20.96,23.39,18.55,29.14,29.77
1981-02-13,12.64,9.15,20.77,21.59,21.55,17.26,27.25,27.61
1981-02-14,12.75,9.31,20.25,21.03,22.83,17.99,28.4,29.19
1981-02-15,12.61,9.21,20.04,20.76,23.3,18.81,29.03,29.71
1981-02-16,12.96,8.86,20.42,21.19,21.15,16.79,26.53,26.98
1981-02-17,12.43,9.3,19.96,20.69,22.44,17.93,27.74,28.24
1981-02-18,12.66,9.15,20.07,20.73,21.6,17.39,27.57,27.95
1981-02-19,12.53,9.11,20.25,20.96,22.84,19.12,29.54,30.26
1981-02-20,12.82,8.86,20.41,21.12,23.47,19.4,28.87,29.54
1981-02-21,12.03,8.76,20.08,20.9,22.1,18.38,27.93,28.89
1981-02-22,12.32,9.34,20.23,20.92,22.11,16.97,29.09,29.79
1981-02-23,12.53,8.85,20.47,21.23,25.02,20.23,30.56,31.42
1981-02-24,13.09,9.67,20.8,21.61,24.13,18.85,30.18,31.46
1981-02-25,12.91,9.24,20.43,21.27,23.37,18.98,29.23,30.26
1981-02-26,12.36,9.46,20.33,21.17,23.58,19.59,28.57,29.43
1981-02-27,12.16,9.42,20.02,20.82,23.96,19.73,28.93,30.02
1981-02-28,11.39,8.89,19.87,20.71,25.54,21.26,30.72,31.85
1981-03-01,11.23,7.87,18.99,20.69,24.32,20.51,29.23,30.32
1981-03-02,13.01,9.37,19.94,21.38,24.82,20.6,29.9,30.99
1981-03-03,12.51,8.99,19.56,21.07,25.03,20.64,29.96,31.1
1981-03-04,13.65,9.7,20.55,21.95,24.89,20.69,30.47,31.66
1981-03-05,13.86,9.71,20.43,21.79,23.85,19.48,29.37,30.95
1981-03-06,13.73,9.97,20.56,22.01,22.92,18.5,28.83,30.03
1981-03-07,13.64,9.94,20.45,21.89,23.64,19.24,29.88,31.09
1981-03-08,13.49,9.4,20.29,21.63,24.12,19.56,29.06,30.3
1981-03-09,13.52,9.67,20.09,21.44,23,18.69,29.24,30.42
1981-03-10,13.6,9.74,20.09,21.57,22.09,16.98,26.83,27.65
1981-03-11,13.64,9.7,20.19,21.65,21.58,16.8,27.89,28.73
1981-03-12,12.74,9.18,19.94,21.62,22.29,17.21,28.39,29.48
1981-03-13,11.98,8.54,19.52,21.12,23.89,19.66,28.82,29.85
1981-03-14,12.89,9.12,20.07,21.75,23.9,19.68,29.42,30.66
1981-03-15,11.98,8.37,19.65,21.24,23.79,19.59,28.97,29.84
1981-03-16,12.13,9.01,19.58,21.38,23.56,19.45,29.26,30.35
1981-03-17,12.74,9.3,19.66,21.18,22.94,19.03,27.97,29.09
1981-03-18,13.16,9.51,19.57,21.43,20.9,17.16,26.85,27.8
1981-03-19,12.84,8.77,19.78,21.29,21.97,18.32,28.34,29.63
1981-03-20,12.11,8.11,19.37,20.99,22.15,19.52,28.53,30.07
1981-03-21,12.4,8.53,19.54,21.28,18.93,16.37,24.44,25.99
1981-03-22,11.09,6.81,18.57,20.19,20.58,17.96,26.14,27.28
1981-03-23,10.84,6.92,18.49,20.13,23.26,19.94,28.77,29.97
1981-03-24,11.09,6.6,18.81,20.43,21.47,17.98,26.06,27.29
1981-03-25,11.87,6.83,18.72,20.2,20.42,16.51,24.52,25.11
1981-03-26,12.19,8.16,18.81,20.4,22.49,18.21,27.73,28.78
1981-03-27,11.96,8.01,18.68,20.36,21.31,17.72,27.28,28.59
1981-03-28,10.25,6.39,17.79,19.55,24.16,18.83,29.15,30.08
1981-03-29,11.64,7.57,17.99,19.63,24.14,19.18,29.17,30.35
1981-03-30,11.63,7.28,18.3,19.89,22.9,18.68,28.1,29.6
1981-03-31,11.62,8.12,17.93,19.53,23.9,19.21,28.48,29.86
1981-04-01,11.31,6.99,18.84,19.85,24.85,20.25,30.15,30.95
1981-04-02,12.09,7.68,18.92,19.81,24.56,20.19,29.79,30.83
1981-04-03,11.04,6.65,18.54,19.4,23.16,19.85,29.04,29.83
1981-04-04,12.92,8.08,19.83,20.91,23.78,19.58,28.68,29.41
1981-04-05,10.9,6.43,18.39,19.71,23.22,19.33,29.17,29.93
1981-04-06,12.5,7.61,19.4,20.45,22.63,18.1,28.98,29.69
1981-04-07,12.42,7.76,19.88,20.91,22.54,18.62,28.38,28.97
1981-04-08,11.76,7.46,19.44,20.39,22.86,18.84,28.04,28.64
1981-04-09,11.53,6.82,18.77,20.28,23.24,18.77,27.95,29.01
1981-04-10,11.98,7.87,19.54,20.45,23.33,19.49,28.14,28.85
1981-04-11,12.21,8.03,19.68,20.73,23.25,20.15,28.87,29.82
1981-04-12,12.45,8.07,19.83,20.85,22.86,20.08,28.06,29.17
1981-04-13,11.61,7.64,19.87,21.01,23.43,19.4,29.2,30.37
1981-04-14,10.44,6.9,19.07,20.46,24.4,19.59,29.55,30.36
1981-04-15,10.65,6.41,19.32,20.55,23.38,18.91,29.17,29.86
1981-04-16,12.18,7.72,19.98,21.15,21.64,18.09,26.23,27.1
1981-04-17,12.03,7.43,19.59,20.61,22.18,18.3,27.52,28.05
1981-04-18,12.17,7.83,19.68,20.75,22.43,18.31,27.51,28.64
1981-04-19,12.21,7.37,19.7,20.64,22.58,17.92,28.93,29.81
1981-04-20,11.44,7.19,19.15,20.33,21.33,17.58,27.84,28.81
1981-04-21,11.79,7.06,19.37,20.56,22.66,18.8,28.39,28.98
1981-04-22,11.11,6.95,19.06,20.27,25.19,20.23,29.58,30.39
