Fecha,Chiquian,Chavin,Nuevo_Pachacoto,Dos_de_Mayo
1981-01-01,0.34,0,0.02,0.01
1981-01-02,0.42,0,0.03,0.04
1981-01-03,4.52,0.01,1.35,3.15
1981-01-04,4.84,1.07,2.52,0.08
1981-01-05,5.42,2.03,1.1,11.15
1981-01-06,5.13,0,0,0.04
1981-01-07,10.16,3.19,6.97,9.87
1981-01-08,0.34,0.02,15.08,0.25
1981-01-09,5.4,0.02,5.22,0
1981-01-10,6.78,9.64,5.48,0.28
1981-01-11,1.9,0.93,4.14,1.93
1981-01-12,5.15,1.67,0.91,2.85
1981-01-13,7.05,7.2,9.24,7.02
1981-01-14,1.5,0.01,0.91,0
1981-01-15,0.55,0.75,0.08,0
1981-01-16,2.96,0,2.55,0
1981-01-17,1.56,0.07,1.66,2.43
1981-01-18,3.01,0.19,0,9.88
1981-01-19,0.17,0,0,0
1981-01-20,3.94,8.48,2.73,0
1981-01-21,0.19,14.06,0,9.43
1981-01-22,6.32,0,0,4.38
1981-01-23,0.28,0,0,0.07
1981-01-24,0.02,0,0,0
1981-01-25,0,0,0,0.16
1981-01-26,3.62,3.43,2.64,3.4
1981-01-27,14.04,3.93,7.49,8.56
1981-01-28,0.72,3.76,3.46,0.05
1981-01-29,0.56,4.24,6.91,3.91
1981-01-30,1.45,0.29,40.36,0.12
1981-01-31,12.85,35.74,32.28,20.77
1981-02-01,9.38,23.89,1.91,17.2
1981-02-02,3.58,0,7.11,0.17
1981-02-03,5.43,0.08,0.91,0.33
1981-02-04,1.44,0.04,27.22,0
1981-02-05,14.16,0.1,3.38,0.06
1981-02-06,5.95,0.02,3.49,0
1981-02-07,5.1,11.32,6.2,6.95
1981-02-08,15.58,0.01,11.08,0
1981-02-09,14.91,5.27,9.63,27.26
1981-02-10,9.03,10.36,18.97,12.32
1981-02-11,5.47,6.03,10.72,8.35
1981-02-12,9.85,5.86,8.64,9.21
1981-02-13,0.56,6.04,5.25,19.84
1981-02-14,5.95,0.04,0.11,3.71
1981-02-15,3.97,0.09,0,0
1981-02-16,10.03,0.11,6.29,0.07
1981-02-17,11.03,6.68,6.47,0.01
1981-02-18,6.78,6.6,2.94,17.47
1981-02-19,0,6.8,5.15,0.33
1981-02-20,8.14,0,9.05,0
1981-02-21,2.19,0,11.8,0
1981-02-22,18.31,0,0.19,0.03
1981-02-23,26.14,14.05,29.46,0.02
1981-02-24,1.09,11.39,0.47,0.05
1981-02-25,1.23,12.89,0.98,0.18
1981-02-26,0.67,0.08,0.59,0.04
1981-02-27,0.92,0.03,1.91,0.08
1981-02-28,0.16,9.55,2.15,0.08
1981-03-01,0.31,0.04,5.69,0.02
1981-03-02,0.04,9.85,0.58,0.01
1981-03-03,0.3,0.02,1.08,0.01
1981-03-04,0.56,0.02,0.23,0.02
1981-03-05,14.83,10.16,19.52,0.28
1981-03-06,2.68,5.62,5.18,0
1981-03-07,0.78,0.02,10.47,0.01
1981-03-08,11.89,13.49,7.13,24.2
1981-03-09,1.68,0.04,12.26,7.75
1981-03-10,10.69,6.76,1.02,17.64
1981-03-11,7.58,4.09,27.43,0.25
1981-03-12,5.21,4.14,6.28,11.78
1981-03-13,0.28,10.28,1.73,4.64
1981-03-14,1.14,3.36,2.79,9.65
1981-03-15,2,7.81,16.6,9.05
1981-03-16,0.22,0.03,8.25,0
1981-03-17,0.84,0,6.03,0
1981-03-18,6.4,15.73,12.99,16.88
1981-03-19,0.73,0.07,0.03,6.45
1981-03-20,0.1,0,0.01,0
1981-03-21,2.95,9.05,6.45,11.24
1981-03-22,2.75,0.03,17.86,0.03
1981-03-23,2.3,1.15,2.56,2.15
1981-03-24,2.98,7.97,7.33,15.07
1981-03-25,0,0,4.8,0.08
1981-03-26,0.18,0,31.03,0
1981-03-27,4.11,11.35,11.44,11.44
1981-03-28,0.11,4.98,4.93,4.66
1981-03-29,6.65,0.03,1.5,0.17
1981-03-30,1.33,0.01,0.2,4.71
1981-03-31,0.02,0,0.06,0
1981-04-01,0,0,0,0
1981-04-02,1.26,0.08,3.36,0.02
1981-04-03,20.22,17.27,0.13,11.33
1981-04-04,0.56,20.58,3.82,0.17
1981-04-05,2.13,0.03,15.28,12.9
1981-04-06,1.71,0.13,4.03,0.06
1981-04-07,1,0.08,1.61,0.04
1981-04-08,0.42,0.01,0.1,0
1981-04-09,0.56,0.07,1.37,0.04
1981-04-10,0.31,0.03,0.19,0.03
1981-04-11,0.26,0.02,0.14,0.02
1981-04-12,0.3,0.02,0.15,0.02
1981-04-13,0.3,0.03,0.2,0.01
1981-04-14,0.27,0,0.08,0.19
1981-04-15,0.05,0,0.01,0.01
1981-04-16,0.25,0.03,0.15,5.81
1981-04-17,0,0.34,0,0.01
1981-04-18,0.12,0.04,0.15,0.05
1981-04-19,0,0,0,5.58
1981-04-20,0,0.14,0,0.04
1981-04-21,0.18,0.02,2.86,1.28
1981-04-22,0.29,0.02,5.74,0
1981-04-23,0.13,0.01,0.09,1.5
1981-04-24,0.05,0.01,0.04,0.01
1981-04-25,0.85,0.21,0,0
1981-04-26,0,0.05,0,3.83
1981-04-27,0,0,0,3.96
1981-04-28,0.05,0,0.03,0.01
1981-04-29,0.01,0,0,0
1981-04-30,0.02,0,0.01,0
1981-05-01,0.03,0,0.05,0
1981-05-02,0.02,0,0.03,0
1981-05-03,0.03,0,0.05,0
1981-05-04,0,0,0,0
1981-05-05,0,0,0,0
1981-05-06,0.01,0,0.01,0
1981-05-07,0,0,0,0
1981-05-08,0,0.04,0,0.02
1981-05-09,0,0,0,0.02
1981-05-10,0.71,0,0,0
1981-05-11,0.99,0.04,2.26,1.38
1981-05-12,0.02,0,0.03,0
1981-05-13,0.01,0,0.02,0.01
1981-05-14,0.11,3.49,0.24,3.3
1981-05-15,0.06,0.01,0.07,0.02
1981-05-16,0.09,0.01,0.14,0.01
1981-05-17,0.01,0,0,0
1981-05-18,0.04,0,0.07,0.01
1981-05-19,0.01,0,0,0
1981-05-20,0.05,0.01,0.07,0.01
1981-05-21,0.02,0,0.03,0
1981-05-22,0.01,0,0.01,0
1981-05-23,0.05,0.01,0.07,0.01
1981-05-24,0,0,0,0
1981-05-25,0.02,0,0.02,0
1981-05-26,0.01,0,0,0
1981-05-27,0.04,0,0.06,0
1981-05-28,0.01,0,0.01,0
1981-05-29,0.04,0,0.07,0.01
1981-05-30,0.01,0,0.01,0
1981-05-31,0,0,0,0
1981-06-01,0.01,0,0,0
1981-06-02,0.02,0,0,0
1981-06-03,0,0,0,0
1981-06-04,0,0,0,0
1981-06-05,0.02,0,0,0.01
1981-06-06,0.03,0,0,0.01
1981-06-07,0.04,0,0,0
1981-06-08,0.04,0,0,0
1981-06-09,0.05,0.01,0,0.01
1981-06-10,0,0,0,0
1981-06-11,0.03,0,0,0
1981-06-12,0.05,0.01,0,0.01
1981-06-13,0.03,0,0,0
1981-06-14,0.02,0,0,0
1981-06-15,0.02,0,0,0
1981-06-16,0.03,0.01,0,0.01
1981-06-17,0.03,0.01,0,0.02
1981-06-18,0.07,0.01,0,0.01
1981-06-19,0.01,0,0,0
1981-06-20,0.02,0,0,0
1981-06-21,0,0,0,0
1981-06-22,0.01,0,0,0
1981-06-23,0.01,0,0,0
1981-06-24,0.02,0,0,0
1981-06-25,0.03,0.01,0,0.01
1981-06-26,0.11,0.01,0,0.01
1981-06-27,0,0,0,0
1981-06-28,0,0,0,0
1981-06-29,0,0,0,0
1981-06-30,0,0,0,0
1981-07-01,0,0,0,0
1981-07-02,0.01,0,0,0
1981-07-03,0.01,0,0,0.01
1981-07-04,0.01,0,0,0
1981-07-05,0.01,0,0,0.01
1981-07-06,0,0,0,0
1981-07-07,0,0,0,0
1981-07-08,0,0,0,0
1981-07-09,0,0,0,0
1981-07-10,0.01,0,0,0
1981-07-11,0.01,0,0,0
1981-07-12,0.01,0,0,0
1981-07-13,0.01,0,0,0.01
1981-07-14,0,0,0,0
1981-07-15,0,0,0,0
1981-07-16,0,0,0,0
1981-07-17,0,0,0,0
1981-07-18,0.01,0,0,0.01
1981-07-19,0.01,0,0,0.01
1981-07-20,0.01,0,0,0.01
1981-07-21,0,0,0,0
1981-07-22,0,0,0,0
1981-07-23,0,0,0,0
1981-07-24,0,0,0,0
1981-07-25,0,0,0,0
1981-07-26,0,0,0,0
1981-07-27,0,0,0,0
1981-07-28,0,0,0,0
1981-07-29,0,0,0,0
1981-07-30,0,0,0,0
1981-07-31,0,0,0,0
1981-08-01,0.01,0.02,0,0.02
1981-08-02,0,0,0,0
1981-08-03,0,0,0,0
1981-08-04,0.04,0.09,0.01,0.14
1981-08-05,0.02,0,0,0.01
1981-08-06,0.04,0.08,0.01,0.16
1981-08-07,0.03,0.06,0.01,0.12
1981-08-08,0.09,0.2,0.03,0.37
1981-08-09,0.18,0.01,0.01,0.03
1981-08-10,0.57,0.1,0.29,0.09
1981-08-11,0.92,1.14,1.29,1.27
1981-08-12,0.26,0.07,0.03,0.08
1981-08-13,0.04,0.04,0.02,0.02
1981-08-14,0.01,0.02,0,0.02
1981-08-15,0.01,0,0,0
1981-08-16,0.02,0.05,0.01,0.1
1981-08-17,0.01,0,0,0
1981-08-18,0,0,0,0
1981-08-19,0.03,0.02,0.01,0.05
1981-08-20,0.01,0.03,0,0.07
1981-08-21,0,0,0,0
1981-08-22,0.01,0.01,0,0.02
1981-08-23,0.01,0.03,0,0.06
1981-08-24,0.02,0.03,0,0.09
1981-08-25,0,0,0,0.01
1981-08-26,0.02,0,0,0.03
1981-08-27,0.06,0.14,0.14,0.11
1981-08-28,0.2,0.16,1.03,0.07
1981-08-29,0.32,0.38,0.36,0.34
1981-08-30,0.79,0.86,0.88,1.04
1981-08-31,0.44,1.07,0.12,0.63
1981-09-01,0.09,0.01,0.61,0
1981-09-02,0,0,0,0
1981-09-03,0.67,2.84,0,1.37
1981-09-04,0.69,7,0,1.38
1981-09-05,0.07,0.02,0.02,0.01
1981-09-06,0.03,0.01,0.01,0.01
1981-09-07,0,0,0,0
1981-09-08,0.13,0.02,0.59,0
1981-09-09,0.16,0.02,0.66,0
1981-09-10,0.03,0,0.01,0
1981-09-11,0,0,0,0.08
1981-09-12,0,0.09,0,4.07
1981-09-13,0.25,0.02,0.03,0.16
1981-09-14,0.05,0.01,0,4.39
1981-09-15,0.15,0.01,0.02,0.17
1981-09-16,0.11,0.01,0.01,0.03
1981-09-17,0,0,0,0
1981-09-18,0.01,0,0,0
1981-09-19,0.08,0.01,0.02,0.01
1981-09-20,0.04,0.01,0.01,0.01
1981-09-21,0,0,0,0.06
1981-09-22,0.02,0.01,0.01,0.01
1981-09-23,0.03,0,0,0.01
1981-09-24,0.01,0,0,0.01
1981-09-25,0.11,0.01,0.8,0
1981-09-26,0.09,0.01,0.56,0
1981-09-27,0.03,0.01,0.01,0
1981-09-28,0.07,0.01,0.02,0.01
1981-09-29,0.05,0.01,0.01,0.01
1981-09-30,0.11,0,0.01,0
1981-10-01,0.01,0,0.01,0
1981-10-02,0,0,0,0
1981-10-03,0.01,0,0.01,0.01
1981-10-04,0,0,0,0
1981-10-05,0.02,0,0.01,0.02
1981-10-06,0,0,0,0.05
1981-10-07,0.01,0,0,0.01
1981-10-08,0,0,0,0.02
1981-10-09,0.23,3.22,1.81,9.91
1981-10-10,0.17,0.02,1.16,0.01
1981-10-11,0.12,0.02,0.66,0
1981-10-12,2.63,1.97,2.36,8.85
1981-10-13,0.22,2.01,1.65,0
1981-10-14,0.56,8.56,1.05,8.55
1981-10-15,0.19,1.81,0.42,0
1981-10-16,0,0,0,0
1981-10-17,0.3,0.11,1.52,0.07
1981-10-18,1.94,2.96,1.02,2.51
1981-10-19,2.15,7.73,1.87,17.72
1981-10-20,0.34,0.05,0.06,0.01
1981-10-21,0.13,0.11,0.08,0.22
1981-10-22,0.22,0.05,0.11,0.05
1981-10-23,0.18,0.05,0.1,0.04
1981-10-24,0.41,4.58,0.86,0.11
1981-10-25,2.27,0.02,1.05,0.03
1981-10-26,2.38,0.88,2.16,1.74
1981-10-27,2.01,4.54,0.46,1.97
1981-10-28,0,2.58,0,4.16
1981-10-29,0.04,1,0.03,1.5
1981-10-30,0.88,0.02,0.59,0
1981-10-31,1.25,0,0.47,0.01
1981-11-01,1.02,6.45,3.21,3.7
1981-11-02,2.99,6.68,11.26,8.72
1981-11-03,3.8,14.82,6.68,13.65
1981-11-04,0.36,0.02,4.24,0.01
1981-11-05,1.1,6.3,7.28,0.08
1981-11-06,0.85,0.01,6.39,0.02
1981-11-07,0.11,0,0.04,0
1981-11-08,0.14,0.05,1.06,0.02
1981-11-09,0.53,0.04,12.45,0.05
1981-11-10,1.12,0.22,9.12,0.28
1981-11-11,15.13,11.86,9.46,27.54
1981-11-12,0.36,0.04,0.05,0
1981-11-13,0.27,0.04,1.66,0.01
1981-11-14,2.88,5.24,3.02,20.46
1981-11-15,0.34,12.06,8.95,9.17
1981-11-16,2.09,4.14,2.07,0.14
1981-11-17,1.53,3.93,3.11,6.85
1981-11-18,2,0.01,6.26,3.07
1981-11-19,1.26,8.66,0.62,7.67
1981-11-20,1.42,8.17,2.84,7.23
1981-11-21,1.17,0,0,0.09
1981-11-22,0.63,0.01,4.23,0
1981-11-23,1.35,7.6,4.09,7.41
1981-11-24,0.08,0.04,3.9,0.01
1981-11-25,0.23,0.05,1.08,0.01
1981-11-26,1.4,0.04,5.71,0.03
1981-11-27,1.08,4.17,13.16,9.03
1981-11-28,0.97,3.99,7.04,0.02
1981-11-29,0.79,8.98,0.13,9.1
1981-11-30,0.74,0.24,0,8.85
1981-12-01,0.33,0,0.04,0.01
1981-12-02,0.1,0,0.01,0
1981-12-03,0,0,0.58,5.92
1981-12-04,5.36,0.09,2.06,13.3
1981-12-05,3.68,0.06,3.17,0.18
1981-12-06,7.07,0.01,18.48,0
1981-12-07,1.05,0.02,5.48,0.08
1981-12-08,6.86,13.39,2.86,13.41
1981-12-09,0.92,0.01,0,6.1
1981-12-10,2.34,0.02,0.14,0.5
1981-12-11,5.59,4.02,2.25,7.9
1981-12-12,5.06,4.19,0.3,5.19
1981-12-13,3.04,1.5,13.77,0.07
1981-12-14,0.41,0.01,1.01,0.03
1981-12-15,4.41,0.22,5.42,3.66
1981-12-16,2.84,0.13,0.23,0.03
1981-12-17,6.12,0.8,5.23,2.54
1981-12-18,3.18,2.14,1.69,0.23
1981-12-19,0.38,0.03,0.11,2.05
1981-12-20,0.66,2.14,1.03,1.99
1981-12-21,10.82,1.28,0.91,2.51
1981-12-22,1.49,5.59,0.81,5.15
1981-12-23,11.43,3.59,0,12.17
1981-12-24,15.48,1.14,2.77,8.55
1981-12-25,3.95,1.29,20.34,0.01
1981-12-26,1.93,5.53,8.92,0.09
1981-12-27,12.3,4.68,5.72,3.04
1981-12-28,15.71,4.4,3.44,12.12
1981-12-29,9.83,9.88,2.58,7.05
1981-12-30,0,0.11,0.32,0.01
1981-12-31,0,0,0,0
1982-01-01,1.34,4.4,1.28,13.94
1982-01-02,0.13,0.01,0,0.02
1982-01-03,2.8,11.28,4.28,3.72
1982-01-04,0.58,4.6,8.28,8.62
1982-01-05,6.67,4.32,1,8.89
1982-01-06,0,0,0,3.38
1982-01-07,0,0,0.48,3.18
1982-01-08,0,3.22,1.22,0
1982-01-09,0,0,0,0
1982-01-10,4.5,4.39,4.91,2.12
1982-01-11,8.62,24.99,8.86,14.16
1982-01-12,4.88,0.02,5.87,0
1982-01-13,2.19,0.06,0.89,5.45
1982-01-14,6.32,0.12,0,13.14
1982-01-15,0.97,4.02,0,9.7
1982-01-16,0.24,0,0,0.18
1982-01-17,4.68,3.14,0.3,7.01
